Local,Densidade_demográfica,Salário_médio_mensal_dos_trabalhadores_formais,População_ocupada,Taxa_de_escolarização_de_6_a_14_anos_de_idade,Mortalidade_Infantil,Esgotamento_sanitário_adequado
Abreu e Lima,748.29,2.0,12.8,97.2,7.24,44.8
Afogados da Ingazeira,92.9,1.8,10.3,97.3,13.41,71.0
Afrânio,11.8,1.5,7.9,98.7,23.08,24.2
Agrestina,112.58,1.5,7.2,96.4,5.92,67.8
Água Preta,62.05,1.6,5.3,94.0,6.17,40.6
Águas Belas,45.41,1.8,4.6,96.1,20.86,29.1
Alagoinha,63.16,1.5,6.1,96.3,10.81,47.9
Aliança,137.16,1.4,9.2,97.0,13.33,55.8
Altinho,49.18,1.7,5.6,96.9,21.58,52.4
Amaraji,93.37,1.6,8.1,96.6,19.74,50.8
Angelim,86.43,2.1,7.3,96.4,23.26,54.7
Araçoiaba,188.38,1.6,6.9,97.0,13.2,9.3
Araripina,40.84,1.8,9.7,95.2,12.66,45.6
Arcoverde,196.05,1.9,12.7,97.3,27.63,86.4
Barra de Guabiraba,111.43,1.4,36.1,93.7,5.75,74.5
Barreiros,174.54,1.7,10.5,94.6,15.67,44.2
Belém de Maria,153.96,1.7,3.5,98.5,8.06,43.7
Belém do São Francisco,11.06,1.7,13.5,97.3,16.13,42.6
Belo Jardim,111.83,2.0,17.7,97.1,10.36,70.8
Betânia,9.65,1.8,5.3,93.8,21.62,32.8
Bezerros,119.53,1.5,23.3,95.9,7.84,73.0
Bodocó,21.75,1.8,4.9,95.7,18.52,24.5
Bom Conselho,57.44,1.9,6.1,96.2,21.31,54.4
Bom Jardim,169.49,1.4,5.6,97.0,2.07,22.1
Bonito,94.96,1.8,6.4,96.7,6.38,65.4
Brejão,55.35,1.7,7.3,96.3,18.63,29.8
Brejinho,68.75,1.8,6.2,98.2,12.05,44.8
Brejo da Madre de Deus,59.26,1.9,6.0,95.6,16.27,56.4
Buenos Aires,134.54,1.8,5.8,97.4,22.99,15.1
Buíque,39.18,2.1,4.6,94.7,19.81,30.7
Cabo de Santo Agostinho,412.33,2.5,19.0,96.5,8.41,50.9
Cabrobó,18.62,1.6,9.1,97.6,20.72,63.5
Cachoeirinha,104.98,1.6,7.4,95.3,14.81,71.8
Caetés,80.66,1.8,7.8,92.6,13.45,24.4
Calçado,91.23,1.6,3.6,97.1,27.21,41.7
Calumbi,31.5,1.6,6.9,95.3,18.69,45.7
Camaragibe,2818.46,1.9,9.4,97.4,14.75,40.5
Camocim de São Félix,235.99,1.7,6.6,97.0,17.7,76.2
Camutanga,217.39,2.0,49.0,97.9,9.26,29.4
Canhotinho,57.96,1.6,6.4,91.8,8.33,54.2
Capoeiras,58.26,1.6,4.9,96.5,21.37,31.6
Carnaíba,43.42,1.8,6.0,96.1,22.3,41.9
Carnaubeira da Penha,11.73,1.5,3.2,98.1,11.24,14.2
Carpina,516.51,1.7,15.2,95.5,12.95,15.0
Caruaru,342.07,1.8,22.6,94.9,11.98,81.3
Casinhas,118.81,1.6,6.8,97.5,11.98,11.5
Catende,182.49,1.8,5.2,95.2,12.37,61.4
Cedro,72.45,1.6,6.8,95.5,14.18,53.9
Chã de Alegria,255.5,1.9,5.6,97.1,13.33,19.7
Chã Grande,237.33,1.7,7.3,96.7,10.0,45.3
Condado,270.87,1.9,7.0,97.3,7.79,3.9
Correntes,53.0,1.7,5.6,93.1,16.33,48.8
Cortês,122.9,1.6,13.8,97.2,10.36,55.4
Cumaru,58.8,1.5,6.7,98.5,13.07,20.5
Cupira,221.58,1.5,11.1,97.3,23.5,79.9
Custódia,24.11,2.0,8.8,97.1,9.67,52.0
Dormentes,11.0,1.8,11.0,97.0,28.34,70.8
Escada,183.07,1.8,9.5,94.1,10.19,37.0
Exu,23.65,1.6,7.0,95.2,17.13,16.9
Feira Nova,190.96,1.6,6.9,97.6,5.97,21.1
Fernando de Noronha,154.55,2.1,68.2,100.0,38.46,82.7
Ferreiros,127.93,1.5,6.8,97.9,6.8,49.3
Flores,22.27,1.4,6.1,96.4,15.27,31.9
Floresta,8.04,1.7,13.0,95.6,21.93,40.3
Frei Miguelinho,67.2,1.7,5.8,95.4,14.29,13.9
Gameleira,109.05,1.7,4.1,97.0,11.2,54.3
Garanhuns,282.21,1.8,16.1,96.8,13.79,52.1
Glória do Goitá,125.17,2.0,9.0,98.3,9.01,34.2
Goiana,150.72,2.5,28.9,96.7,10.14,33.5
Granito,13.13,1.8,6.8,98.5,10.53,29.8
Gravatá,150.87,1.6,13.4,97.2,3.82,65.0
Iati,28.91,1.9,6.2,90.5,7.19,35.5
Ibimirim,14.14,1.6,4.8,93.7,10.33,33.6
Ibirajuba,39.74,1.6,4.7,96.7,19.61,45.8
Igarassu,333.88,2.1,17.6,97.9,15.54,19.9
Iguaracy,14.05,1.8,4.5,98.7,6.67,36.3
Inajá,16.14,1.7,6.3,84.2,18.13,23.0
Ingazeira,18.45,1.7,7.6,98.2,15.38,42.9
Ipojuca,152.98,3.4,37.1,97.3,12.05,50.6
Ipubi,32.64,1.6,7.7,95.1,18.37,20.9
Itacuruba,10.16,1.8,15.3,97.5,12.99,82.2
Itaíba,24.2,2.0,4.2,93.3,11.76,31.2
Ilha de Itamaracá,328.17,1.8,7.0,97.6,9.06,20.5
Itambé,116.13,1.5,9.2,94.6,4.89,18.4
Itapetim,34.29,1.6,7.6,97.5,5.99,51.5
Itapissuma,320.19,3.1,20.9,97.6,3.09,25.0
Itaquitinga,151.72,1.7,4.8,97.3,8.26,9.5
Jaboatão dos Guararapes,2491.82,2.1,15.6,96.8,10.63,45.4
Jaqueira,131.88,1.8,6.8,95.4,8.4,33.1
Jataúba,23.53,1.5,6.9,97.6,16.53,55.9
Jatobá,50.25,1.7,9.5,97.7,22.42,68.0
João Alfredo,227.52,1.6,6.8,97.1,11.33,17.3
Joaquim Nabuco,129.39,1.9,8.6,95.5,3.56,49.9
Jucati,87.92,1.7,6.8,98.0,34.48,48.3
Jupi,130.53,1.7,7.9,96.3,14.34,50.5
Jurema,98.08,1.7,4.8,96.0,23.04,61.7
Lagoa do Carro,229.77,1.7,8.2,97.8,12.88,9.8
Lagoa de Itaenga,360.65,1.7,29.1,98.9,8.65,14.5
Lagoa do Ouro,61.04,1.5,6.1,96.5,25.91,52.3
Lagoa dos Gatos,70.06,2.0,3.6,96.5,9.09,45.0
Lagoa Grande,12.31,1.4,12.8,96.3,10.81,40.4
